Note: [none]
Total # of Iterations:	1e+05	
Sample size:	253	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
-233.8396	6	480.0207	479.6792	1.017749	0.4144878	
Model:	mcombrat6
PDF:	dnorm
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
MR	0.8642465	0.2938438	1	1.726876	0	1	1	
OTmed	5.03188	5	7.127417	14.25673	5	20	15	
Tb	4.343035	2.783143	5	6.645711	0.01	5	4.99	
Pa	0.7626918	0.2598961	0.8	1.523956	0.2	0.8	0.6	
Pb	2.606214	0.01	5	15.65729	0.01	5	4.99	
Pc	0.006485228	0.00150475	0.01	0.02130098	1e-04	0.01	0.0099	

Non-varying parameters:
Label	Value
mean	predicted	
x	rat	
prec	prec	
tmed	tmed	
log	TRUE	


Annealing regime:
Initial temp	Rt	ns	nt
5	0.975	20	100

Variance - Covariance Matrix:
	MR	OTmed	Tb	Pa	Pb	Pc
MR	2.9821	-10.90997	3.906341	-1.305415	-1.346946	-0.001796661	
OTmed	-10.90997	203.2542	-87.7112	-9.62798	-0.8287241	-0.005358099	
Tb	3.906341	-87.7112	44.16548	3.44732	2.27867	-0.004331262	
Pa	-1.305415	-9.62798	3.44732	2.322443	-1.188671	-0.001585541	
Pb	-1.346946	-0.8287241	2.27867	-1.188671	245.1506	0.3056857	
Pc	-0.001796661	-0.005358099	-0.004331262	-0.001585541	0.3056857	0.0004537317	

Source data
rat	tmed	prec	predicted	
0.4759616	11.81506	559.2	0.1816202	
0.3003152	11.736	635.5	0.1919533	
0.3938742	11.01136	759.1	0.2506863	
0.3736255	10.63505	561.4	0.267829	
0.1600306	10.74701	308.2	0.1947984	
0.1650547	10.92373	499.1	0.2370682	
0.1405044	10.65338	426.4	0.2420584	
0.2793442	10.13953	728.2	0.3225403	
0.2575962	11.37159	889.7	0.225293	
0.2420352	10.44594	1428.5	0.3029888	
0.2945809	10.68331	609.9	0.268916	
0.1342082	10.97178	552.5	0.2406275	
0.2948654	10.09672	584.9	0.3148972	
0.1885472	10.88113	484	0.2377146	
0.1472617	11.48234	368.1	0.1721751	
0.1241091	10.91439	590.5	0.2489015	
0.1573864	11.61667	368.8	0.1645441	
0.2249388	9.9215	1022.5	0.3485381	
0.6260474	10.40382	555.4	0.2856904	
0.4121322	10.34639	631.3	0.2985114	
0.5715017	9.428958	758.4	0.3873707	
0.5446219	9.050484	565.1	0.4018685	
0.4744601	9.207542	312.2	0.2943122	
0.5349582	9.288868	502.9	0.3689522	
0.3405907	8.983948	437	0.3738098	
0.5210497	8.392047	716.7	0.4766047	
0.4548816	9.816253	887.9	0.3563619	
0.5954203	8.801879	1421.6	0.4521155	
0.5923556	8.94437	601.7	0.416771	
0.4001922	9.426972	561.4	0.3689034	
0.4739078	8.407901	576.1	0.457913	
0.4527148	9.156835	494.8	0.3778945	
0.4141188	9.872912	359.5	0.2749278	
0.4945938	9.220841	619.1	0.3949582	
0.4601859	10.06176	364.9	0.2639626	
0.5061606	8.12988	1009.9	0.5091845	
0.1543426	15.39656	208.4	0.01946543	
0.1832787	15.09243	217.7	0.02387409	
0.1523323	14.97087	213.4	0.02501017	
0.3161728	14.6502	319	0.04082715	
0.1251806	14.48524	101.8	0.01604262	
0.08662605	15.12706	260.6	0.02734532	
0.1073976	14.68435	167.7	0.02316824	
0.1177354	14.63184	256.5	0.0349575	
0.1325189	15.36337	325.7	0.02839444	
0.4343702	14.5268	436.6	0.05180866	
0.2418193	15.04664	203.2	0.02297813	
0.01669328	15.13608	207.8	0.02236163	
0.1009567	14.43493	181.3	0.0283019	
0.03109615	15.50237	142.9	0.01284769	
0.1053782	15.65799	223.7	0.01793763	
0.1208357	15.34972	283	0.02586983	
0.1397098	15.58787	140.1	0.01202038	
0.08104308	14.57152	337.8	0.04412801	
0.04561179	15.32993	104.8	0.01057968	
0.09793627	15.80108	199.5	0.01490863	
0.06287278	15.51106	240	0.02070518	
0.1351467	16.53306	303.7	0.01374792	
0.09732386	13.31781	361.6	0.08319582	
0.1655779	13.11083	330.5	0.08607042	
0.1609994	12.85564	327.3	0.09523363	
0.1874337	12.68337	348.6	0.1064058	
0.0406339	12.70888	144.9	0.04991368	
0.07405498	12.9846	327.7	0.09030675	
0.05920739	12.51785	332.5	0.1103625	
0.03349928	12.51045	265.6	0.09395731	
0.09358744	13.48725	358.1	0.07672813	
0.1480221	12.65853	484.3	0.1260098	
0.1508633	12.93468	330.9	0.0928127	
0.04389473	12.90525	290	0.08565316	
0.1161283	12.39118	215.9	0.08249193	
0.04617053	13.19346	222.2	0.06084565	
0.07283431	13.34513	214.1	0.05508252	
0.03174495	13.01616	274	0.07827545	
0.08635824	13.70839	171.4	0.03800819	
0.08286346	12.15359	395.5	0.140611	
0.07499991	13.21725	204.7	0.05591845	
0.07621066	13.56741	275.8	0.06180277	
0.04650233	13.33447	196.6	0.05118237	
0.07267583	14.66723	254.4	0.03410068	
0.1684874	14.31136	202.9	0.03342317	
0.1775987	14.03289	222.2	0.04153101	
0.1766173	13.75783	199	0.0427572	
0.2561497	13.44531	323.2	0.07326779	
0.08581704	13.29281	107.3	0.02944058	
0.08165883	13.85621	266.1	0.05260208	
0.1181447	13.40368	171.8	0.04371671	
0.1629166	13.29086	260.9	0.06687747	
0.1210237	14.15875	320.7	0.05230856	
0.1912346	13.24589	436.9	0.09455292	
0.1455412	13.70181	203.9	0.04487114	
0.02651434	13.9476	211.9	0.04144369	
0.05568562	13.13108	176.2	0.05044147	
0.03503488	14.17628	142.3	0.02549935	
0.05777684	14.40997	229.5	0.03556104	
0.02008387	14.03355	296	0.05249673	
0.07143941	14.3783	143.1	0.02321939	
0.06278213	13.19144	331.5	0.0832994	
0.1573845	13.22271	366.4	0.08739057	
0.09247242	13.00417	344.7	0.09252085	
0.1796374	12.71884	354.1	0.1058858	
0.1271469	12.64827	327.9	0.1037954	
0.04003083	12.66909	147.1	0.05146364	
0.1220973	12.90435	370.9	0.1007775	
0.05457975	12.35925	318.7	0.1141831	
0.09209923	12.24473	298.7	0.1140066	
0.08777828	13.21941	476.6	0.09903425	
0.147539	12.50525	561.7	0.1400777	
0.1625557	12.83743	271.4	0.08372574	
0.04442081	13.05593	276.6	0.07753488	
0.1986661	12.1365	382	0.1389477	
0.08226787	13.12328	258.1	0.07128605	
0.07064392	13.41941	213.9	0.05325566	
0.03355328	13.12578	313.9	0.08260108	
0.07154471	13.75114	200	0.0430889	
0.09808652	12.33429	448.9	0.1391553	
0.04748416	13.37264	267.3	0.06578463	
0.1259869	13.44884	321.5	0.07289295	
0.05763474	13.45395	199.8	0.04927321	
0.1068164	12.74955	359.4	0.1054968	
0.1348452	12.55089	335.1	0.1094725	
0.149858	12.19674	348.1	0.1287028	
0.1437259	12.10822	338	0.1306426	
0.04349623	12.14503	141.1	0.06070045	
0.09018941	12.34522	353.4	0.1226986	
0.07338176	11.82288	322.3	0.1406335	
0.04840161	11.73981	285.4	0.1327869	
0.1039761	12.75106	446.3	0.1175922	
0.1173053	11.96879	541	0.1702592	
0.1305473	12.25463	292.8	0.1119238	
0.03379989	12.49898	277.9	0.09781457	
0.1174534	11.61853	326.3	0.152456	
0.05003962	12.56447	252.3	0.08818225	
0.09789741	12.8414	218.7	0.06963249	
0.03536019	12.54195	304.8	0.1030101	
0.04882452	13.19164	199.1	0.05511582	
0.07868437	11.68466	445.6	0.1764154	
0.04198474	12.74521	252.4	0.08199761	
0.09480179	12.92051	323.4	0.09195712	
0.07480113	12.89171	202.2	0.06350145	
0.26936	12.25136	360.2	0.1286702	
0.189034	12.06719	341.6	0.1335576	
0.3093132	11.65683	355.5	0.1587994	
0.2482097	11.55707	326.3	0.1557479	
0.04001177	11.61297	147.8	0.0769746	
0.1178683	11.78407	362.9	0.153653	
0.0556492	11.27962	322	0.1695756	
0.1127203	11.05442	335.5	0.1874704	
0.1548122	12.19787	532	0.1555532	
0.2486419	11.4048	666.6	0.2169756	
0.3110653	11.72189	305.6	0.1405242	
0.0837598	11.98467	334.9	0.1359793	
0.228604	11.00224	425	0.2171275	
0.1205257	11.95345	333.6	0.1372042	
0.1291197	12.41273	260.8	0.09621747	
0.06625869	11.93446	382.1	0.149794	
0.09849051	12.7014	207.7	0.07038751	
0.5828131	11.36156	368.2	0.1793942	
0.3738774	11.2134	349.9	0.1828316	
0.5811849	10.68792	390.2	0.2293928	
0.5059657	10.54402	373.1	0.2336213	
0.07626182	10.63039	163	0.1161091	
0.2310098	10.73044	373.2	0.2210643	
0.1078383	10.28368	333.4	0.2350762	
0.1626592	9.905245	376.8	0.2800743	
0.29091	11.18799	612.7	0.2298284	
0.4185128	10.32817	799.9	0.3088393	
0.478777	10.55143	353.3	0.2258272	
0.2128957	10.89882	371.2	0.2093079	
0.4040281	9.824873	454	0.3125599	
0.197504	10.75392	385.2	0.223339	
0.2710632	11.31034	295.9	0.1581497	
0.1525367	10.71864	444.8	0.2417906	
0.1960562	11.61003	231.9	0.1172886	
