Note: [none]
Total # of Iterations:	1e+05	
Sample size:	253	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
-233.7862	6	479.9138	479.5723	1.005145	0.4377074	
Model:	mcombrat3
PDF:	dnorm
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
MR	0.9983905	0.3394528	1	3.688242	0	1	1	
OTmed	5.006669	5	6.106535	13.23148	5	20	15	
Tb	0.5125973	0.3566921	0.6792698	1.182507	0.01	5	4.99	
Pa	0.8	0.272	0.8	2.95535	0.2	0.8	0.6	
Pb	3.802602	0.01	5	14.90832	0.01	5	4.99	
Pc	0.008466	0.00235782	0.01	0.02236037	1e-04	0.01	0.0099	

Non-varying parameters:
Label	Value
mean	predicted	
x	rat	
prec	prec	
tmed	tmed	
log	TRUE	


Annealing regime:
Initial temp	Rt	ns	nt
5	0.975	20	100

Variance - Covariance Matrix:
	MR	OTmed	Tb	Pa	Pb	Pc
MR	13.60313	-19.67803	1.391255	-6.565478	0.03344313	-0.002084112	
OTmed	-19.67803	175.0721	-14.68189	-15.7678	-1.209097	0.05091245	
Tb	1.391255	-14.68189	1.398323	1.114798	-0.5163924	-0.009050464	
Pa	-6.565478	-15.7678	1.114798	8.734096	0.02679764	-0.001669978	
Pb	0.03344313	-1.209097	-0.5163924	0.02679764	222.2581	0.2392442	
Pc	-0.002084112	0.05091245	-0.009050464	-0.001669978	0.2392442	0.0004999862	

Source data
rat	tmed	prec	predicted	
0.4759616	11.81506	559.2	0.1899483	
0.3003152	11.736	635.5	0.1972575	
0.3938742	11.01136	759.1	0.2434177	
0.3736255	10.63505	561.4	0.2624677	
0.1600306	10.74701	308.2	0.1989109	
0.1650547	10.92373	499.1	0.2372665	
0.1405044	10.65338	426.4	0.2434993	
0.2793442	10.13953	728.2	0.3071745	
0.2575962	11.37159	889.7	0.2214874	
0.2420352	10.44594	1428.5	0.285358	
0.2945809	10.68331	609.9	0.26195	
0.1342082	10.97178	552.5	0.2389692	
0.2948654	10.09672	584.9	0.3048585	
0.1885472	10.88113	484	0.2382153	
0.1472617	11.48234	368.1	0.1818962	
0.1241091	10.91439	590.5	0.245102	
0.1573864	11.61667	368.8	0.1754636	
0.2249388	9.9215	1022.5	0.327742	
0.6260474	10.40382	555.4	0.278809	
0.4121322	10.34639	631.3	0.2877926	
0.5715017	9.428958	758.4	0.3702958	
0.5446219	9.050484	565.1	0.3971043	
0.4744601	9.207542	312.2	0.3007087	
0.5349582	9.288868	502.9	0.3658759	
0.3405907	8.983948	437	0.3793537	
0.5210497	8.392047	716.7	0.4765257	
0.4548816	9.816253	887.9	0.336421	
0.5954203	8.801879	1421.6	0.4358308	
0.5923556	8.94437	601.7	0.4111592	
0.4001922	9.426972	561.4	0.3607526	
0.4739078	8.407901	576.1	0.4652835	
0.4527148	9.156835	494.8	0.376816	
0.4141188	9.872912	359.5	0.2770961	
0.4945938	9.220841	619.1	0.3849777	
0.4601859	10.06176	364.9	0.2658192	
0.5061606	8.12988	1009.9	0.5103354	
0.1543426	15.39656	208.4	0.03772005	
0.1832787	15.09243	217.7	0.04312279	
0.1523323	14.97087	213.4	0.04362227	
0.3161728	14.6502	319	0.0689893	
0.1251806	14.48524	101.8	0.01871278	
0.08662605	15.12706	260.6	0.05130463	
0.1073976	14.68435	167.7	0.03517867	
