Note: [none]
Total # of Iterations:	1e+05	
Sample size:	253	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
100.2925	4	-192.4236	-192.5849	1.002745	0.2934352	
Model:	mwbrat6
PDF:	dnorm
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
MR	0.9994315	0	1	NaN	0	1	1	
WBa	0.3868213	0.2	0.8	NaN	0.2	0.8	0.6	
WBb	0.3184044	0.02532022	3	1.530102	0.01	3	2.99	
WBc	0.002915319	1e-04	0.01	0.008526562	1e-04	0.01	0.0099	

Non-varying parameters:
Label	Value
mean	predicted	
x	rat	
wb	wb	


Annealing regime:
Initial temp	Rt	ns	nt
5	0.975	20	100

Variance - Covariance Matrix:
	MR	WBa	WBb	WBc
MR	-98.4424	38.6337	1.143754	-0.005421023	
WBa	38.6337	-14.74677	0.44268	-0.00209816	
WBb	1.143754	0.44268	2.341211	-0.01236796	
WBc	-0.005421023	-0.00209816	-0.01236796	7.270225e-05	

Source data
rat	wb	predicted	
0.4759616	-161.1184	0.2323154	
0.3003152	-64.18379	0.263347	
0.3938742	76.77306	0.2997181	
0.3736255	-71.36195	0.2612176	
0.1600306	-348.32	0.1605159	
0.1650547	-164.4911	0.2311493	
0.1405044	-203.875	0.2171279	
0.2793442	125.3749	0.3099687	
0.2575962	198.3678	0.3233767	
0.2420352	802.747	0.3749269	
0.2945809	-27.06456	0.2739237	
0.1342082	-119.4822	0.2462412	
0.2948654	-13.48224	0.2776124	
0.1885472	-162.9127	0.2316957	
0.1472617	-321.9227	0.1713145	
0.1241091	-58.0992	0.2651307	
0.1573864	-334.2297	0.166296	
0.2249388	431.9746	0.3531943	
0.6260474	-127.1168	0.2437539	
0.4121322	-34.30199	0.2719186	
0.5715017	124.6573	0.3098253	
0.5446219	-19.0394	0.2761148	
0.4744601	-300.9227	0.179798	
0.5349582	-111.8937	0.2486836	
0.3405907	-141.614	0.2389484	
0.5210497	170.3971	0.3185075	
0.4548816	240.2473	0.3300823	
0.5954203	846.6235	0.3763099	
0.5923556	20.94278	0.2865315	
0.4001922	-68.34087	0.2621172	
0.4739078	30.13466	0.28881	
0.4527148	-97.81491	0.2531352	
0.4141188	-285.5812	0.1859206	
0.4945938	23.53267	0.2871778	
0.4601859	-291.6022	0.183526	
0.5061606	476.5893	0.3571089	
0.1543426	-615.2016	0.05703264	
0.1832787	-564.0491	0.07434793	
0.1523323	-596.3456	0.06317992	
0.3161728	-445.327	0.120433	
0.1251806	-674.8043	0.03966406	
0.08662605	-550.0901	0.07940015	
0.1073976	-595.1465	0.06358055	
0.1177354	-509.7141	0.09465827	
0.1325189	-500.9678	0.0980717	
0.4343702	-324.6614	0.1702004	
0.2418193	-593.0901	0.06427025	
0.01669328	-616.8551	0.05650765	
0.1009567	-567.0046	0.07329477	
0.03109615	-680.0306	0.03830143	
0.1053782	-626.5616	0.05347327	
0.1208357	-528.4273	0.08747693	
0.1397098	-702.8775	0.03266343	
0.08104308	-422.5915	0.1297866	
0.04561179	-706.9501	0.03171348	
0.09793627	-648.9416	0.0467966	
0.06287278	-587.8988	0.06602596	
0.1351467	-349.5562	0.1600073	
0.09732386	-389.6823	0.1434152	
0.1655779	-388.1099	0.1440672	
0.1609994	-407.4436	0.136053	
0.1874337	-353.5972	0.1583433	
0.0406339	-582.135	0.06799927	
0.07405498	-407.3059	0.13611	
0.05920739	-355.1119	0.157719	
0.03349928	-424.2578	0.1290986	
0.09358744	-407.0217	0.1362277	
0.1480221	-222.2121	0.2103571	
0.1508633	-391.4452	0.1426843	
0.04389473	-448.3811	0.1191833	
0.1161283	-465.688	0.1121421	
0.04617053	-511.5146	0.09395988	
0.07283431	-539.3535	0.08336917	
0.03174495	-446.9757	0.1197581	
0.08635824	-612.9731	0.05774385	
0.08286346	-270.974	0.1916825	
0.07499991	-533.3499	0.08561801	
0.07621066	-484.8056	0.1044628	
0.04650233	-550.0231	0.07942471	
0.07267583	-352.6352	0.1587397	
0.1684874	-588.2293	0.06591358	
0.1775987	-530.5482	0.08667441	
0.1766173	-569.6704	0.07235002	
0.2561497	-400.1882	0.1390595	
0.08581704	-628.1059	0.05299808	
0.08165883	-498.7953	0.09892469	
0.1181447	-545.843	0.08096188	
0.1629166	-455.7928	0.116159	
0.1210237	-463.2067	0.113147	
0.1912346	-279.8037	0.1882079	
0.1455412	-541.0715	0.08272946	
0.02651434	-570.8406	0.07193685	
0.05568562	-527.051	0.08799903	
0.03503488	-630.3701	0.05230518	
0.05777684	-571.2455	0.07179412	
0.02008387	-466.5412	0.1117971	
0.07143941	-655.3221	0.0449776	
0.06278213	-377.4503	0.1484849	
0.1573845	-378.874	0.1478952	
0.09247242	-367.0403	0.1527936	
0.1796374	-372.0856	0.1507063	
0.1271469	-373.289	0.1502082	
0.04003083	-581.2544	0.06830294	
0.1220973	-362.0738	0.1548462	
0.05457975	-361.4389	0.1551084	
0.09209923	-378.5147	0.148044	
0.08777828	-271.3657	0.1915289	
0.147539	-135.5035	0.240987	
0.1625557	-446.7216	0.1198621	
0.04442081	-477.1589	0.1075203	
0.1986661	-287.2538	0.1852565	
0.08226787	-473.6482	0.1089306	
0.07064392	-546.0022	0.08090315	
0.03355328	-419.7008	0.1309808	
0.07154471	-585.8015	0.06674111	
0.09808652	-230.0192	0.2074305	
0.04748416	-478.8798	0.1068305	
0.1259869	-430.3007	0.1266063	
0.05763474	-555.0963	0.07757374	
0.1068164	-373.0922	0.1502897	
0.1348452	-365.8596	0.1532818	
0.149858	-362.1358	0.1548206	
0.1437259	-345.2036	0.1617971	
0.04349623	-569.1806	0.07252324	
