Note: [none]
Total # of Iterations:	1e+05	
Sample size:	253	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
-234.4209	4	477.0032	476.8419	1.000882	0.1620251	
Model:	mprecrat4
PDF:	dnorm
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
MR	0.9473104	0.2724469	1	4.636225	0.01	1	0.99	
Pa	0.2496139	0.2	0.4271795	1.221634	0.2	1	0.8	
Pmid	99.79754	0	100	NaN	0	100	100	
Pc	238.0419	0.001	500	NaN	0.001	500	499.999	

Non-varying parameters:
Label	Value
mean	predicted	
x	rat	
tmed	tmed	
log	TRUE	


Annealing regime:
Initial temp	Rt	ns	nt
5	0.975	20	100

Variance - Covariance Matrix:
	MR	Pa	Pmid	Pc
MR	21.49459	-5.635245	-79.26838	147.3441	
Pa	-5.635245	1.492388	-20.88702	38.8248	
Pmid	-79.26838	-20.88702	-447128.4	342132.3	
Pc	147.3441	38.8248	342132.3	-71667.72	

Source data
rat	prec	predicted	
0.4759616	559.2	0.2064881	
0.3003152	635.5	0.2139246	
0.3938742	759.1	0.2225143	
0.3736255	561.4	0.2067292	
0.1600306	308.2	0.1669151	
0.1650547	499.1	0.1992347	
0.1405044	426.4	0.1886277	
0.2793442	728.2	0.2207098	
0.2575962	889.7	0.228198	
0.2420352	1428.5	0.2355747	
0.2945809	609.9	0.2116343	
0.1342082	552.5	0.2057436	
0.2948654	584.9	0.209202	
0.1885472	484	0.1972015	
0.1472617	368.1	0.1786014	
0.1241091	590.5	0.2097642	
0.1573864	368.8	0.1787298	
0.2249388	1022.5	0.2316597	
0.6260474	555.4	0.2060678	
0.4121322	631.3	0.2135622	
0.5715017	758.4	0.2224756	
0.5446219	565.1	0.2071309	
0.4744601	312.2	0.1677371	
0.5349582	502.9	0.1997327	
0.3405907	437	0.1903044	
0.5210497	716.7	0.2199845	
0.4548816	887.9	0.2281375	
0.5954203	1421.6	0.2355487	
0.5923556	601.7	0.2108584	
0.4001922	561.4	0.2067292	
0.4739078	576.1	0.2082977	
0.4527148	494.8	0.1986646	
0.4141188	359.5	0.177008	
0.4945938	619.1	0.2124801	
0.4601859	364.9	0.1780119	
0.5061606	1009.9	0.2314043	
0.1543426	208.4	0.144743	
0.1832787	217.7	0.1469266	
0.1523323	213.4	0.1459195	
0.3161728	319	0.1691214	
0.1251806	101.8	0.1187282	
0.08662605	260.6	0.1567123	
0.1073976	167.7	0.1349804	
